,drug_name,drug_id,ind_name,ind_id,NCT,status,phase,DetailedStatus
487,Dapsone,DB00250,Dermatitis Herpetiformis,C0011608,,Approved,,
491,Phenytoin,DB00252,Epilepsy,C0014544,,Approved,,
499,Medrysone,DB00253,Rosacea,C0035854,,Approved,,
557,Clotrimazole,DB00257,Diaper Rash,C0011974,,Approved,,
561,Clotrimazole,DB00257,Oral candidiasis,C0006849,,Approved,,
564,Clotrimazole,DB00257,Tinea Versicolor,C0040262,,Approved,,
571,Sulfanilamide,DB00259,Vulvovaginitis,C0042998,,Approved,,
577,Anagrelide,DB00261,"Thrombocythemia, Essential",C0040028,,Approved,,
579,Carmustine,DB00262,Multiple Myeloma,C0026764,,Approved,,
580,Carmustine,DB00262,Hodgkin Disease,C0019829,,Approved,,
583,Carmustine,DB00262,Malignant Glioma,C0555198,,Approved,,
596,Metoprolol,DB00264,Hypertensive disease,C0020538,,Approved,,
608,Ropinirole,DB00268,Restless Legs Syndrome,C0035258,,Approved,,
609,Isradipine,DB00270,Hypertensive disease,C0020538,,Approved,,
622,Olmesartan,DB00275,Hypertensive disease,C0020538,,Approved,,
623,Theophylline,DB00277,Lung diseases,C0024115,,Approved,,
634,Liothyronine,DB00279,Endemic goiter,C0018022,,Approved,,
635,Liothyronine,DB00279,Myxedema,C0027145,,Approved,,
650,Lidocaine,DB00281,Pediculus capitis infestation,C0030757,,Approved,,
666,Acarbose,DB00284,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
667,Venlafaxine,DB00285,"Phobia, Social",C0031572,,Approved,,
669,Venlafaxine,DB00285,Generalized Anxiety Disorder,C0270549,,Approved,,
673,Travoprost,DB00287,Ocular Hypertension,C0028840,,Approved,,
675,Amcinonide,DB00288,Granuloma Annulare,C0085074,,Approved,,
676,Amcinonide,DB00288,Contact Dermatitis,C0011616,,Approved,,
683,Amcinonide,DB00288,"Dermatitis, Atopic",C0011615,,Approved,,
686,Amcinonide,DB00288,Seborrheic dermatitis,C0036508,,Approved,,
695,Bleomycin,DB00290,Testicular Germ Cell Tumor,C1336708,,Approved,,
696,Bleomycin,DB00290,Malignant neoplasm of penis,C0153601,,Approved,,
698,Bleomycin,DB00290,Hodgkin Disease,C0019829,,Approved,,
717,Tranexamic Acid,DB00302,Endometriosis,C0014175,,Approved,,
739,Chlorthalidone,DB00310,Hypertensive disease,C0020538,,Approved,,
740,Pentobarbital,DB00312,Epilepsy,C0014544,,Approved,,
747,Valproic Acid,DB00313,Epilepsy,C0014544,,Approved,,
748,Valproic Acid,DB00313,Absence Epilepsy,C0014553,,Approved,,
764,Acetaminophen,DB00316,Common Cold,C0009443,,Approved,,
765,Gefitinib,DB00317,Non-Small Cell Lung Carcinoma,C0007131,,Approved,,
769,Codeine,DB00318,Common Cold,C0009443,,Approved,,
773,Codeine,DB00318,Rhinitis,C0035455,,Approved,,
810,Piperacillin,DB00319,Rhinoscleroma,C0035468,,Approved,,
838,Fluorometholone,DB00324,Rosacea,C0035854,,Approved,,
851,Hydromorphone,DB00327,Common Cold,C0009443,,Approved,,
859,Indomethacin,DB00328,Rheumatoid Arthritis,C0003873,,Approved,,
860,Indomethacin,DB00328,Ankylosing spondylitis,C0038013,,Approved,,
861,Indomethacin,DB00328,Patent ductus arteriosus,C0013274,,Approved,,
863,Indomethacin,DB00328,Synovitis,C0039103,,Approved,,
866,Indomethacin,DB00328,Gout,C0018099,,Approved,,
870,Metformin,DB00331,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
874,Ipratropium bromide,DB00332,Chronic Obstructive Airway Disease,C0024117,,Approved,,
887,Atenolol,DB00335,Hypertensive disease,C0020538,,Approved,,
892,Omeprazole,DB00338,Zollinger-Ellison syndrome,C0043515,,Approved,,
894,Omeprazole,DB00338,Gastroesophageal reflux disease,C0017168,,Approved,,
895,Omeprazole,DB00338,Peptic Ulcer,C0030920,,Approved,,
897,Omeprazole,DB00338,Duodenal Ulcer,C0013295,,Approved,,
905,Cetirizine,DB00341,Common Cold,C0009443,,Approved,,
912,Diltiazem,DB00343,Hypertensive disease,C0020538,,Approved,,
915,Diltiazem,DB00343,Atrial Fibrillation,C0004238,,Approved,,
918,Trimethadione,DB00347,Epilepsy,C0014544,,Approved,,
919,Trimethadione,DB00347,Absence Epilepsy,C0014553,,Approved,,
938,Aztreonam,DB00355,Rhinoscleroma,C0035468,,Approved,,
970,Vinorelbine,DB00361,Non-Small Cell Lung Carcinoma,C0007131,,Approved,,
975,Sucralfate,DB00364,Duodenal Ulcer,C0013295,,Approved,,
980,Doxylamine,DB00366,Common Cold,C0009443,,Approved,,
994,Norepinephrine,DB00368,Bronchiectasis,C0006267,,Approved,,
999,Timolol,DB00373,Ocular Hypertension,C0028840,,Approved,,
1001,Timolol,DB00373,Hypertensive disease,C0020538,,Approved,,
1008,Trihexyphenidyl,DB00376,"Parkinson Disease, Postencephalitic",C0030568,,Approved,,
1013,Amlodipine,DB00381,Hypertensive disease,C0020538,,Approved,,
1016,Triamterene,DB00384,Hypertensive disease,C0020538,,Approved,,
1031,Phenylephrine,DB00388,Rhinitis,C0035455,,Approved,,
1041,Phenylephrine,DB00388,Common Cold,C0009443,,Approved,,
1043,Carbimazole,DB00389,Hyperthyroidism,C0020550,,Approved,,
1045,Digoxin,DB00390,Atrial Fibrillation,C0004238,,Approved,,
1050,Beclomethasone dipropionate,DB00394,Rhinitis,C0035455,,Approved,,
1058,Progesterone,DB00396,Endometrial Carcinoma,C0476089,,Approved,,
1060,Progesterone,DB00396,Endometriosis,C0014175,,Approved,,
1071,Phenylpropanolamine,DB00397,Common Cold,C0009443,,Approved,,
1075,Phenylpropanolamine,DB00397,Rhinitis,C0035455,,Approved,,
1076,Sorafenib,DB00398,Renal Cell Carcinoma,C0007134,,Approved,,
1090,Nisoldipine,DB00401,Hypertensive disease,C0020538,,Approved,,
1094,Alprazolam,DB00404,Generalized Anxiety Disorder,C0270549,,Approved,,
1105,Loxapine,DB00408,Schizophrenia,C0036341,,Approved,,
1107,Mupirocin,DB00410,Impetigo,C0021099,,Approved,,
1109,Pramipexole,DB00413,Restless Legs Syndrome,C0035258,,Approved,,
1160,Ampicillin,DB00415,Rhinoscleroma,C0035468,,Approved,,
1173,Secobarbital,DB00418,Epilepsy,C0014544,,Approved,,
1177,Miglustat,DB00419,Gaucher Disease,C0017205,,Approved,,
1197,Spironolactone,DB00421,Hypertensive disease,C0020538,,Approved,,
1201,Spironolactone,DB00421,Hyperaldosteronism,C0020428,,Approved,,
1208,Hyoscyamine,DB00424,Peptic Ulcer,C0030920,,Approved,,
1226,Lindane,DB00431,Pediculus capitis infestation,C0030757,,Approved,,
1230,Trifluridine,DB00432,Malignant tumor of colon,C0007102,,Approved,,
1231,Prochlorperazine,DB00433,Schizophrenia,C0036341,,Approved,,
1242,Nitric Oxide,DB00435,Pulmonary Hypertension,C0020542,,Approved,,
1243,Bendroflumethiazide,DB00436,Hypertensive disease,C0020538,,Approved,,
1245,Allopurinol,DB00437,Gout,C0018099,,Approved,,
1247,Allopurinol,DB00437,Hyperuricemia,C0740394,,Approved,,
1278,Ceftazidime,DB00438,Rhinoscleroma,C0035468,,Approved,,
1298,Gemcitabine,DB00441,Non-Small Cell Lung Carcinoma,C0007131,,Approved,,
1308,Betamethasone,DB00443,Sarcoidosis,C0036202,,Approved,,
1309,Betamethasone,DB00443,Inflammatory Bowel Diseases,C0021390,,Approved,,
1312,Betamethasone,DB00443,Seborrheic dermatitis,C0036508,,Approved,,
1313,Betamethasone,DB00443,Hodgkin Disease,C0019829,,Approved,,
1319,Betamethasone,DB00443,Angioedema,C0002994,,Approved,,
1321,Betamethasone,DB00443,Rheumatoid Arthritis,C0003873,,Approved,,
1329,Betamethasone,DB00443,Synovitis,C0039103,,Approved,,
1337,Betamethasone,DB00443,Pemphigus,C0030807,,Approved,,
1338,Betamethasone,DB00443,Contact Dermatitis,C0011616,,Approved,,
1341,Betamethasone,DB00443,"Dermatitis, Atopic",C0011615,,Approved,,
1346,Betamethasone,DB00443,Trichinellosis,C0040896,,Approved,,
1351,Betamethasone,DB00443,"Tuberculosis, Miliary",C0041321,,Approved,,
1352,Betamethasone,DB00443,Scalp Dermatoses,C0036271,,Approved,,
1353,Betamethasone,DB00443,Addison Disease,C0001403,,Approved,,
1354,Betamethasone,DB00443,"Arthritis, Psoriatic",C0003872,,Approved,,
1359,Betamethasone,DB00443,Psoriasis,C0033860,,Approved,,
1360,Betamethasone,DB00443,Dermatitis Herpetiformis,C0011608,,Approved,,
1364,Betamethasone,DB00443,Granuloma Annulare,C0085074,,Approved,,
1366,Betamethasone,DB00443,Ankylosing spondylitis,C0038013,,Approved,,
1367,Betamethasone,DB00443,Adrenogenital disorder,C0701163,,Approved,,
1368,Betamethasone,DB00443,Musculoskeletal Diseases,C0026857,,Approved,,
1369,Betamethasone,DB00443,Thyroiditis,C0040147,,Approved,,
1375,Epirubicin,DB00445,Breast Carcinoma,C0678222,,Approved,,
1377,Chloramphenicol,DB00446,Streptococcal meningitis,C0154639,,Approved,,
1384,Lansoprazole,DB00448,Duodenal Ulcer,C0013295,,Approved,,
1386,Lansoprazole,DB00448,Zollinger-Ellison syndrome,C0043515,,Approved,,
1388,Lansoprazole,DB00448,Gastroesophageal reflux disease,C0017168,,Approved,,
1389,Lansoprazole,DB00448,Peptic Ulcer,C0030920,,Approved,,
1391,Levothyroxine,DB00451,Myxedema,C0027145,,Approved,,
1406,Loratadine,DB00455,Common Cold,C0009443,,Approved,,
1421,Prazosin,DB00457,Hypertensive disease,C0020538,,Approved,,
1424,Acitretin,DB00459,Psoriasis,C0033860,,Approved,,
1430,Nabumetone,DB00461,Rheumatoid Arthritis,C0003873,,Approved,,
1453,Montelukast,DB00471,Intrinsic asthma,C0155880,,Approved,,
1456,Fluoxetine,DB00472,Obsessive-Compulsive Disorder,C0028768,,Approved,,
1468,Duloxetine,DB00476,Generalized Anxiety Disorder,C0270549,,Approved,,
1474,Chlorpromazine,DB00477,Schizophrenia,C0036341,,Approved,,
1477,Chlorpromazine,DB00477,Acute intermittent porphyria,C0162565,,Approved,,
1498,Amikacin,DB00479,Rhinoscleroma,C0035468,,Approved,,
1521,Lenalidomide,DB00480,Multiple Myeloma,C0026764,,Approved,,
1526,Celecoxib,DB00482,Rheumatoid Arthritis,C0003873,,Approved,,
1527,Celecoxib,DB00482,Ankylosing spondylitis,C0038013,,Approved,,
1530,Brimonidine,DB00484,Ocular Hypertension,C0028840,,Approved,,
1535,Buspirone,DB00490,Generalized Anxiety Disorder,C0270549,,Approved,,
1536,Miglitol,DB00491,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
1538,Fosinopril,DB00492,Hypertensive disease,C0020538,,Approved,,
1542,Cefotaxime,DB00493,Streptococcal meningitis,C0154639,,Approved,,
1587,Tolmetin,DB00500,Rheumatoid Arthritis,C0003873,,Approved,,
1588,Cimetidine,DB00501,Duodenal Ulcer,C0013295,,Approved,,
1591,Cimetidine,DB00501,Gastroesophageal reflux disease,C0017168,,Approved,,
1592,Cimetidine,DB00501,Zollinger-Ellison syndrome,C0043515,,Approved,,
1594,Cimetidine,DB00501,"Mastocytosis, Systemic",C0221013,,Approved,,
1599,Haloperidol,DB00502,Schizophrenia,C0036341,,Approved,,
1604,Nitazoxanide,DB00507,Cryptosporidiosis,C0010418,,Approved,,
1633,Dextromethorphan,DB00514,Common Cold,C0009443,,Approved,,
1638,Dextromethorphan,DB00514,Rhinitis,C0035455,,Approved,,
1640,Cisplatin,DB00515,Testicular Germ Cell Tumor,C1336708,,Approved,,
1646,Albendazole,DB00518,Echinococcus granulosus infection,C0152068,,Approved,,
1648,Trandolapril,DB00519,Hypertensive disease,C0020538,,Approved,,
1653,Carteolol,DB00521,Hypertensive disease,C0020538,,Approved,,
1654,Carteolol,DB00521,Ocular Hypertension,C0028840,,Approved,,
1655,Metolazone,DB00524,Hypertensive disease,C0020538,,Approved,,
1667,Lercanidipine,DB00528,Hypertensive disease,C0020538,,Approved,,
1668,Erlotinib,DB00530,Non-Small Cell Lung Carcinoma,C0007131,,Approved,,
1671,Cyclophosphamide,DB00531,Multiple Myeloma,C0026764,,Approved,,
1695,Ciprofloxacin,DB00537,Anthrax disease,C0003175,,Approved,,
1701,Ciprofloxacin,DB00537,Rhinoscleroma,C0035468,,Approved,,
1706,Ciprofloxacin,DB00537,Chancroids,C0007947,,Approved,,
1710,Ciprofloxacin,DB00537,Cystitis,C0010692,,Approved,,
1725,Ciprofloxacin,DB00537,Acute maxillary sinusitis,C0155804,,Approved,,
1734,Vincristine,DB00541,Rhabdomyosarcoma,C0035412,,Approved,,
1740,Vincristine,DB00541,Hodgkin Disease,C0019829,,Approved,,
1743,Benazepril,DB00542,Hypertensive disease,C0020538,,Approved,,
1746,Fluorouracil,DB00544,Malignant tumor of colon,C0007102,,Approved,,
1749,Fluorouracil,DB00544,Actinic keratosis,C0022602,,Approved,,
1755,Desoximetasone,DB00547,Contact Dermatitis,C0011616,,Approved,,
1756,Desoximetasone,DB00547,Granuloma Annulare,C0085074,,Approved,,
1759,Desoximetasone,DB00547,Seborrheic dermatitis,C0036508,,Approved,,
1763,Desoximetasone,DB00547,"Dermatitis, Atopic",C0011615,,Approved,,
1768,Propylthiouracil,DB00550,Hyperthyroidism,C0020550,,Approved,,
1770,Pentostatin,DB00552,Hairy Cell Leukemia,C0023443,,Approved,,
1775,Lamotrigine,DB00555,Epilepsy,C0014544,,Approved,,
1786,Hydroxyzine,DB00557,"Dermatitis, Atopic",C0011615,,Approved,,
1790,Bosentan,DB00559,Pulmonary Hypertension,C0020542,,Approved,,
1791,Bosentan,DB00559,Scleroderma,C0011644,,Approved,,
1798,Methotrexate,DB00563,Psoriasis,C0033860,,Approved,,
1808,Methotrexate,DB00563,Rheumatoid Arthritis,C0003873,,Approved,,
1810,Carbamazepine,DB00564,Epilepsy,C0014544,,Approved,,
1816,Carbamazepine,DB00564,Mixed bipolar I disorder,C0236780,,Approved,,
1843,Vinblastine,DB00570,Hodgkin Disease,C0019829,,Approved,,
1852,Propranolol,DB00571,Atrial Fibrillation,C0004238,,Approved,,
1856,Propranolol,DB00571,Hypertensive disease,C0020538,,Approved,,
1858,Fenoprofen,DB00573,Rheumatoid Arthritis,C0003873,,Approved,,
1863,Clonidine,DB00575,Hypertensive disease,C0020538,,Approved,,
1894,Enalapril,DB00584,Hypertensive disease,C0020538,,Approved,,
1899,Nizatidine,DB00585,Duodenal Ulcer,C0013295,,Approved,,
1900,Nizatidine,DB00585,Peptic Ulcer,C0030920,,Approved,,
1902,Nizatidine,DB00585,Gastroesophageal reflux disease,C0017168,,Approved,,
1905,Diclofenac,DB00586,Actinic keratosis,C0022602,,Approved,,
1907,Diclofenac,DB00586,Rheumatoid Arthritis,C0003873,,Approved,,
1910,Diclofenac,DB00586,Ankylosing spondylitis,C0038013,,Approved,,
1929,Lisuride,DB00589,Amenorrhea,C0002453,,Approved,,
1931,Doxazosin,DB00590,Hypertensive disease,C0020538,,Approved,,
1937,Fluocinolone Acetonide,DB00591,Contact Dermatitis,C0011616,,Approved,,
1939,Fluocinolone Acetonide,DB00591,Granuloma Annulare,C0085074,,Approved,,
1941,Fluocinolone Acetonide,DB00591,"Dermatitis, Atopic",C0011615,,Approved,,
1944,Fluocinolone Acetonide,DB00591,Choroiditis,C0008526,,Approved,,
1945,Fluocinolone Acetonide,DB00591,Seborrheic dermatitis,C0036508,,Approved,,
1950,Ethosuximide,DB00593,Absence Epilepsy,C0014553,,Approved,,
1952,Amiloride,DB00594,Hypertensive disease,C0020538,,Approved,,
1994,Labetalol,DB00598,Hypertensive disease,C0020538,,Approved,,
2001,Ivermectin,DB00602,Strongyloidiasis,C0038463,,Approved,,
2004,Medroxyprogesterone acetate,DB00603,Endometriosis,C0014175,,Approved,,
2005,Medroxyprogesterone acetate,DB00603,Endometrial Carcinoma,C0476089,,Approved,,
2010,Sulindac,DB00605,Ankylosing spondylitis,C0038013,,Approved,,
2011,Sulindac,DB00605,Rheumatoid Arthritis,C0003873,,Approved,,
2025,Chloroquine,DB00608,Quartan malaria,C0024536,,Approved,,
2026,Chloroquine,DB00608,Rheumatoid Arthritis,C0003873,,Approved,,
2030,Chloroquine,DB00608,Ovale malaria,C0152072,,Approved,,
2036,Bisoprolol,DB00612,Hypertensive disease,C0020538,,Approved,,
2072,Imatinib,DB00619,"Mastocytosis, Systemic",C0221013,,Approved,,
2080,Imatinib,DB00619,Gastrointestinal Stromal Tumors,C0238198,,Approved,,
2084,Triamcinolone,DB00620,Inflammatory Bowel Diseases,C0021390,,Approved,,
2085,Triamcinolone,DB00620,Giant Cell Arteritis,C0039483,,Approved,,
2086,Triamcinolone,DB00620,Granuloma Annulare,C0085074,,Approved,,
2096,Triamcinolone,DB00620,Contact Dermatitis,C0011616,,Approved,,
2109,Triamcinolone,DB00620,Adrenogenital disorder,C0701163,,Approved,,
2111,Triamcinolone,DB00620,Thyroiditis,C0040147,,Approved,,
2112,Triamcinolone,DB00620,Pemphigus,C0030807,,Approved,,
2114,Triamcinolone,DB00620,Sarcoidosis,C0036202,,Approved,,
2118,Triamcinolone,DB00620,"Arthritis, Psoriatic",C0003872,,Approved,,
2121,Triamcinolone,DB00620,Trichinellosis,C0040896,,Approved,,
2125,Triamcinolone,DB00620,"Ophthalmia, Sympathetic",C0029077,,Approved,,
2128,Triamcinolone,DB00620,Synovitis,C0039103,,Approved,,
2130,Triamcinolone,DB00620,"Dermatitis, Atopic",C0011615,,Approved,,
2136,Triamcinolone,DB00620,Seborrheic dermatitis,C0036508,,Approved,,
2140,Triamcinolone,DB00620,Rheumatoid Arthritis,C0003873,,Approved,,
2142,Triamcinolone,DB00620,Hodgkin Disease,C0019829,,Approved,,
2143,Triamcinolone,DB00620,Dermatitis Herpetiformis,C0011608,,Approved,,
2144,Triamcinolone,DB00620,Psoriasis,C0033860,,Approved,,
2145,Triamcinolone,DB00620,Angioedema,C0002994,,Approved,,
2148,Triamcinolone,DB00620,Ankylosing spondylitis,C0038013,,Approved,,
2152,Triamcinolone,DB00620,"Tuberculosis, Miliary",C0041321,,Approved,,
2155,Triamcinolone,DB00620,Addison Disease,C0001403,,Approved,,
2157,Triamcinolone,DB00620,Musculoskeletal Diseases,C0026857,,Approved,,
2160,Nicardipine,DB00622,Hypertensive disease,C0020538,,Approved,,
2161,Fluphenazine,DB00623,Schizophrenia,C0036341,,Approved,,
2165,Testosterone,DB00624,Cryptorchidism,C0010417,,Approved,,
2166,Testosterone,DB00624,Klinefelter Syndrome,C0022735,,Approved,,
2176,Bacitracin,DB00626,Keratitis,C0022568,,Approved,,
2196,Sulfacetamide,DB00634,Inclusion conjunctivitis,C0009770,,Approved,,
2200,Sulfacetamide,DB00634,Vulvovaginitis,C0042998,,Approved,,
2201,Sulfacetamide,DB00634,Seborrheic dermatitis,C0036508,,Approved,,
2208,Prednisone,DB00635,Contact Dermatitis,C0011616,,Approved,,
2210,Prednisone,DB00635,Pemphigus,C0030807,,Approved,,
2212,Prednisone,DB00635,Trichinellosis,C0040896,,Approved,,
2219,Prednisone,DB00635,Chronic Lymphocytic Leukemia,C0023434,,Approved,,
2220,Prednisone,DB00635,Thyroiditis,C0040147,,Approved,,
2221,Prednisone,DB00635,Hodgkin Disease,C0019829,,Approved,,
2224,Prednisone,DB00635,Adrenogenital disorder,C0701163,,Approved,,
2229,Prednisone,DB00635,Angioedema,C0002994,,Approved,,
2230,Prednisone,DB00635,Musculoskeletal Diseases,C0026857,,Approved,,
2232,Prednisone,DB00635,Dermatitis Herpetiformis,C0011608,,Approved,,
2234,Prednisone,DB00635,Psoriasis,C0033860,,Approved,,
2238,Prednisone,DB00635,Addison Disease,C0001403,,Approved,,
2241,Prednisone,DB00635,"Arthritis, Psoriatic",C0003872,,Approved,,
2244,Prednisone,DB00635,Sarcoidosis,C0036202,,Approved,,
2245,Prednisone,DB00635,Rheumatoid Arthritis,C0003873,,Approved,,
2246,Prednisone,DB00635,Ankylosing spondylitis,C0038013,,Approved,,
2250,Prednisone,DB00635,Inflammatory Bowel Diseases,C0021390,,Approved,,
2260,Simvastatin,DB00641,Hyperlipoproteinemia Type III,C0020479,,Approved,,
2262,Simvastatin,DB00641,Arteriosclerosis,C0003850,,Approved,,
2269,Pemetrexed,DB00642,Non-Small Cell Lung Carcinoma,C0007131,,Approved,,
2272,Mebendazole,DB00643,Infection by Trichuris trichiura,C0040954,,Approved,,
2273,Gonadorelin,DB00644,Amenorrhea,C0002453,,Approved,,
2304,Latanoprost,DB00654,Ocular Hypertension,C0028840,,Approved,,
2310,Mecamylamine,DB00657,Hypertensive disease,C0020538,,Approved,,
2313,Verapamil,DB00661,Atrial Fibrillation,C0004238,,Approved,,
2314,Verapamil,DB00661,Hypertensive disease,C0020538,,Approved,,
2321,Flumethasone,DB00663,Seborrheic dermatitis,C0036508,,Approved,,
2327,Flumethasone,DB00663,Granuloma Annulare,C0085074,,Approved,,
2329,Flumethasone,DB00663,Contact Dermatitis,C0011616,,Approved,,
2332,Flumethasone,DB00663,"Dermatitis, Atopic",C0011615,,Approved,,
2335,Nafarelin,DB00666,Endometriosis,C0014175,,Approved,,
2339,Epinephrine,DB00668,Bronchiectasis,C0006267,,Approved,,
2365,Chlorpropamide,DB00672,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
2372,Losartan,DB00678,Hypertensive disease,C0020538,,Approved,,
2446,Tobramycin,DB00684,Anterior uveitis,C0042165,,Approved,,
2456,Tobramycin,DB00684,Rhinoscleroma,C0035468,,Approved,,
2462,Tobramycin,DB00684,Rosacea,C0035854,,Approved,,
2500,Pentosan Polysulfate,DB00686,Interstitial Cystitis,C0282488,,Approved,,
2501,Fludrocortisone,DB00687,Adrenogenital disorder,C0701163,,Approved,,
2502,Fludrocortisone,DB00687,Addison Disease,C0001403,,Approved,,
2519,Furosemide,DB00695,Hypertensive disease,C0020538,,Approved,,
2528,Eplerenone,DB00700,Hypertensive disease,C0020538,,Approved,,
2552,Flurbiprofen,DB00712,Rheumatoid Arthritis,C0003873,,Approved,,
2568,Paroxetine,DB00715,Obsessive-Compulsive Disorder,C0028768,,Approved,,
2570,Paroxetine,DB00715,"Phobia, Social",C0031572,,Approved,,
2571,Paroxetine,DB00715,Post-Traumatic Stress Disorder,C0038436,,Approved,,
2573,Paroxetine,DB00715,Generalized Anxiety Disorder,C0270549,,Approved,,
2587,Norethisterone,DB00717,Endometriosis,C0014175,,Approved,,
2602,Lisinopril,DB00722,Hypertensive disease,C0020538,,Approved,,
2606,Imiquimod,DB00724,Actinic keratosis,C0022602,,Approved,,
2617,Thiabendazole,DB00730,Trichinellosis,C0040896,,Approved,,
2619,Thiabendazole,DB00730,Infection by Trichuris trichiura,C0040954,,Approved,,
2620,Thiabendazole,DB00730,Strongyloidiasis,C0038463,,Approved,,
2621,Nateglinide,DB00731,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
2623,Risperidone,DB00734,Schizophrenia,C0036341,,Approved,,
2626,Risperidone,DB00734,Mixed bipolar I disorder,C0236780,,Approved,,
2632,Esomeprazole,DB00736,Zollinger-Ellison syndrome,C0043515,,Approved,,
2634,Esomeprazole,DB00736,Gastroesophageal reflux disease,C0017168,,Approved,,
2635,Esomeprazole,DB00736,Peptic Ulcer,C0030920,,Approved,,
2639,Riluzole,DB00740,Amyotrophic Lateral Sclerosis,C0002736,,Approved,,
