,Drug_id,Not_indicated_for
96,DB00335,C0004238
97,DB00847,C0020538
98,DB00239,C0011616
99,DB00570,C0030920
100,DB00570,C0021141
101,DB00570,C0020538
102,DB08822,C0740394
103,DB08822,C0002994
104,DB00446,C0002994
105,DB08868,C0004245
106,DB08868,C0040262
107,DB08868,C0020538
108,DB00394,C0001622
109,DB00394,C0002994
110,DB00404,C0002994
111,DB00404,C0020514
112,DB00262,C0025289
113,DB00262,C0006849
114,DB00262,C0006840
115,DB00262,C0020538
116,DB00594,C0740394
117,DB00594,C0030920
118,DB00839,C0021141
119,DB08910,C0004238
120,DB01394,C0018099
121,DB01394,C0002994
122,DB01263,C0026857
123,DB01263,C0035258
124,DB01263,C0740394
125,DB01263,C0025289
126,DB01263,C0003850
127,DB01263,C0019348
128,DB01263,C0036202
129,DB01263,C0036508
130,DB01263,C0004245
131,DB01263,C0004238
132,DB01263,C0006849
133,DB01263,C0017168
134,DB01263,C0006840
135,DB01263,C0020542
136,DB01263,C0035455
137,DB01263,C0020538
138,DB00612,C0033860
139,DB00612,C0004245
140,DB00612,C0004238
141,DB00612,C0030920
142,DB00612,C0011644
143,DB00612,C0018099
144,DB00612,C0002994
145,DB00612,C0010692
146,DB00612,C0035455
147,DB01200,C0030920
148,DB01200,C0011860
149,DB01200,C0011615
150,DB01200,C0020514
151,DB01200,C0035455
152,DB01200,C0020538
153,DB01129,C0024115
154,DB01129,C0003873
155,DB01129,C0019348
156,DB01129,C0036508
157,DB01129,C0033860
158,DB01129,C0020550
159,DB01129,C0018099
160,DB01129,C0006840
161,DB01129,C0002994
162,DB01129,C0010692
163,DB01129,C0035455
164,DB01129,C0020538
165,DB01129,C0011616
166,DB00213,C0026857
167,DB00213,C0740394
168,DB00213,C0024115
169,DB00213,C0019348
170,DB00213,C0034186
171,DB00213,C0004238
172,DB00213,C0018099
173,DB00213,C0006849
174,DB00213,C0017168
175,DB00213,C0006840
176,DB00213,C0002994
177,DB00213,C0010692
178,DB00213,C0035455
179,DB00213,C0020538
180,DB00213,C0011616
181,DB00773,C0740394
182,DB00773,C0006840
183,DB00773,C0020538
184,DB00591,C0019348
185,DB00591,C0009443
186,DB00591,C0011860
187,DB00591,C0035455
188,DB00591,C0011616
189,DB06335,C0002994
190,DB04845,C0017168
191,DB06151,C0002994
192,DB08882,C0002994
193,DB06287,C0024115
194,DB06287,C0019348
195,DB06287,C0006840
196,DB06287,C0002994
197,DB06287,C0010692
198,DB06287,C0035455
199,DB06287,C0020538
200,DB01210,C0004245
201,DB01210,C0022568
202,DB00799,C0021099
203,DB00799,C0011616
204,DB00317,C0036508
205,DB00317,C0004238
206,DB00317,C0002994
207,DB00317,C0010692
208,DB00317,C0022568
209,DB00130,C0034186
210,DB00130,C0006840
211,DB00130,C0035455
212,DB00654,C0011615
213,DB00654,C0022568
214,DB00642,C0020538
215,DB01600,C0013295
216,DB01600,C0030920
217,DB01600,C0002994
218,DB01600,C0010692
219,DB01416,C0018099
220,DB01416,C0006849
221,DB01416,C0011974
222,DB01416,C0006840
223,DB01416,C0035455
224,DB01416,C0020538
225,DB00686,C0002453
226,DB00686,C0023473
227,DB00686,C0282488
228,DB00686,C0035455
229,DB00145,C0024115
230,DB00145,C0035455
231,DB01095,C0004238
232,DB01095,C0002994
233,DB01095,C0035455
234,DB01095,C0020538
235,DB01233,C0004245
236,DB01233,C0004238
237,DB01233,C0002994
238,DB01233,C0002453
239,DB01233,C0020514
240,DB01233,C0020538
241,DB01235,C0026857
242,DB01235,C0013295
243,DB01235,C0030807
244,DB01235,C0009443
245,DB01235,C0002994
246,DB01235,C0035455
247,DB01235,C0020538
248,DB00760,C0006849
249,DB00760,C0006840
250,DB00760,C0002994
251,DB00760,C0020538
252,DB00482,C0019348
253,DB00482,C0017168
254,DB00482,C0011615
255,DB00482,C0006840
256,DB00482,C0002994
257,DB00482,C0010692
258,DB00482,C0039103
259,DB00482,C0035455
260,DB00482,C0014544
261,DB00482,C0020538
262,DB00482,C0011616
263,DB01110,C0002994
264,DB01110,C0011616
265,DB00232,C0740394
266,DB00270,C0004238
267,DB00270,C0011615
268,DB00270,C0002994
269,DB00993,C0021390
270,DB00993,C0025289
271,DB00993,C0019829
272,DB00852,C0020538
273,DB00448,C0026857
274,DB00448,C0035258
275,DB00448,C0018099
276,DB00448,C0006849
277,DB00448,C0006840
278,DB00448,C0002994
279,DB00448,C0039103
280,DB00448,C0035455
281,DB00448,C0020538
282,DB00448,C0011616
283,DB00959,C0025289
284,DB00959,C0001622
285,DB00959,C0030920
286,DB00959,C0036341
287,DB00959,C0002994
288,DB00959,C0002453
289,DB00959,C0035455
290,DB00959,C0020538
291,DB01165,C0026857
292,DB01165,C0019348
293,DB01165,C0036508
294,DB01165,C0004245
295,DB01165,C0004238
296,DB01165,C0018099
297,DB01165,C0009443
298,DB01165,C0017168
299,DB01165,C0006840
300,DB01165,C0002994
301,DB01165,C0010692
302,DB01165,C0024117
303,DB01165,C0039103
304,DB01165,C0035455
305,DB01165,C0022568
306,DB01165,C0014544
307,DB01165,C0020538
308,DB01064,C0020538
309,DB01267,C0035258
310,DB01267,C0036508
311,DB01267,C0004245
312,DB01267,C0004238
313,DB01267,C0021141
314,DB01267,C0002994
315,DB01267,C0002453
316,DB01267,C0010692
317,DB01267,C0020514
318,DB01267,C0035455
319,DB01267,C0020538
320,DB01168,C0002453
321,DB01168,C0020538
322,DB00831,C0014553
323,DB00831,C0002994
324,DB00831,C0002453
325,DB01406,C0036508
326,DB01406,C0002453
327,DB01406,C0014544
328,DB01406,C0020538
329,DB01193,C0004245
330,DB01193,C0035455
331,DB00861,C0030920
332,DB00861,C0002994
333,DB06292,C0024115
334,DB06292,C0002994
335,DB06292,C0042998
336,DB06292,C0020538
337,DB00814,C0038013
338,DB00814,C0013295
339,DB00814,C0025289
340,DB00814,C0003873
341,DB00814,C0030920
342,DB00814,C0017168
343,DB00814,C0002994
344,DB00814,C0035455
345,DB00814,C0020538
346,DB01104,C0034186
347,DB01104,C0004245
348,DB01104,C0030920
349,DB01104,C0021141
350,DB01104,C0020542
351,DB01104,C0002994
352,DB01104,C0002453
353,DB01104,C0010692
354,DB01104,C0020514
355,DB01104,C0035455
356,DB01104,C0020538
357,DB01104,C0011616
358,DB00623,C0036508
359,DB00623,C0011615
360,DB00623,C0002994
361,DB00623,C0020538
362,DB01229,C0022575
363,DB01229,C0019348
364,DB01229,C0004245
365,DB01229,C0004238
366,DB01229,C0011644
367,DB01229,C0006849
368,DB01229,C0017168
369,DB01229,C0011615
370,DB01229,C0006840
371,DB01229,C0020542
372,DB01229,C0002994
373,DB01229,C0010418
374,DB01229,C0035455
375,DB01229,C0022568
376,DB01229,C0020538
377,DB01053,C0020542
378,DB01053,C0002994
379,DB01053,C0011616
380,DB00672,C0021141
381,DB01181,C0004238
382,DB01181,C0021141
383,DB01181,C0007134
384,DB01181,C0020542
385,DB01181,C0002994
386,DB01181,C0002453
387,DB01181,C0020538
388,DB00515,C0740394
389,DB00515,C0021141
390,DB00152,C0002994
391,DB00521,C0004245
392,DB00521,C0022568
393,DB01120,C0013295
394,DB01120,C0018099
395,DB01120,C0017168
396,DB01120,C0002994
397,DB01120,C0010692
398,DB01120,C0035455
399,DB01120,C0020538
400,DB00316,C0011615
401,DB00316,C0002994
402,DB00316,C0020538
403,DB01240,C0020550
404,DB01240,C0035455
405,DB00585,C0740394
406,DB00585,C0018099
407,DB00585,C0035455
408,DB00564,C0025289
409,DB00564,C0162565
410,DB00564,C0004245
411,DB00564,C0011615
412,DB00564,C0002994
413,DB00564,C0035455
414,DB00564,C0020538
415,DB00201,C0020538
416,DB00619,C0026857
417,DB00619,C0035258
418,DB00619,C0021390
419,DB00619,C0740394
420,DB00619,C0019348
421,DB00619,C0033860
422,DB00619,C0004238
423,DB00619,C0018099
424,DB00619,C0017168
425,DB00619,C0020542
426,DB00619,C0002994
427,DB00619,C0023473
428,DB00619,C0035455
429,DB00619,C0238198
430,DB00619,C0020538
431,DB01203,C0004245
432,DB01203,C0020538
433,DB01172,C0025281
434,DB00507,C0024115
435,DB00507,C0002453
436,DB00507,C0035455
437,DB00507,C0020538
438,DB01261,C0024115
439,DB01261,C0017168
440,DB01261,C0002994
441,DB01261,C0020538
442,DB00364,C0024115
443,DB00153,C0020538
444,DB00982,C0021390
445,DB00982,C0013238
446,DB00982,C0740394
447,DB00982,C0013295
448,DB00982,C0024115
449,DB00982,C0019348
450,DB00982,C0036508
451,DB00982,C0018099
452,DB00982,C0011615
453,DB00982,C0006840
454,DB00982,C0020542
455,DB00982,C0010692
456,DB00982,C0035854
457,DB00982,C0022568
458,DB00982,C0020538
459,DB00982,C0011616
460,DB05271,C0028768
461,DB05271,C0002994
462,DB05271,C0020538
463,DB01098,C0026857
464,DB01098,C0002994
465,DB01098,C0035455
466,DB00555,C0036508
467,DB00555,C0004238
468,DB00555,C0030920
469,DB00555,C0002994
470,DB00555,C0002453
471,DB00555,C0010692
472,DB00555,C0035455
473,DB00555,C0022568
474,DB00555,C0020538
475,DB00555,C0011616
476,DB00285,C0740394
477,DB00285,C0024115
478,DB00285,C0003873
479,DB00285,C0036508
480,DB00285,C0034186
481,DB00285,C0033860
482,DB00285,C0004238
483,DB00285,C0020550
484,DB00285,C0018099
485,DB00285,C0006849
486,DB00285,C0017168
487,DB00285,C0021141
488,DB00285,C0006840
489,DB00285,C0002994
490,DB00285,C0002453
491,DB00285,C0010692
492,DB00285,C0035455
493,DB00285,C0022568
494,DB00285,C0026764
495,DB00285,C0020538
496,DB00285,C0014175
497,DB00285,C0040147
498,DB00285,C0011616
499,DB00424,C0022575
500,DB00424,C0004238
501,DB00424,C0017168
502,DB00424,C0002994
503,DB00424,C0022568
504,DB00424,C0011616
505,DB00410,C0002994
506,DB00410,C0035455
507,DB00410,C0011616
508,DB01023,C0002994
509,DB00313,C0014553
510,DB00313,C0036508
511,DB00313,C0162565
512,DB00313,C0004245
513,DB00313,C0021141
514,DB00313,C0002994
515,DB00313,C0002453
516,DB00313,C0010692
517,DB00313,C0035455
518,DB00313,C0020538
519,DB01137,C0026857
520,DB01137,C0019348
521,DB01137,C0036508
522,DB01137,C0004245
523,DB01137,C0004238
524,DB01137,C0018099
525,DB01137,C0009443
526,DB01137,C0017168
527,DB01137,C0006840
528,DB01137,C0002994
529,DB01137,C0010692
530,DB01137,C0024117
531,DB01137,C0039103
532,DB01137,C0035455
533,DB01137,C0022568
534,DB01137,C0014544
535,DB01137,C0020538
536,DB01580,C0036341
537,DB01018,C0004245
538,DB01018,C0035455
539,DB01018,C0020538
540,DB00501,C0004245
541,DB00501,C0038463
542,DB00988,C0004238
543,DB00988,C0020538
544,DB00437,C0018099
545,DB00437,C0011615
546,DB00437,C0002994
547,DB00437,C0035455
548,DB00437,C0014544
549,DB00437,C0020538
550,DB00214,C0740394
551,DB00214,C0004238
552,DB00214,C0018099
553,DB00214,C0002994
554,DB00214,C0035455
555,DB00484,C0022575
556,DB00484,C0009443
557,DB00484,C0035854
558,DB00484,C0035455
559,DB00484,C0022568
560,DB00484,C0042165
561,DB00484,C0020538
562,DB00484,C0011616
563,DB00715,C0035258
564,DB00715,C0025289
565,DB00715,C0003873
566,DB00715,C0019348
567,DB00715,C0678222
568,DB00715,C0036508
569,DB00715,C0004245
570,DB00715,C0004238
571,DB00715,C0030920
572,DB00715,C0020550
573,DB00715,C0018099
574,DB00715,C0017168
575,DB00715,C0011860
576,DB00715,C0021141
577,DB00715,C0006840
578,DB00715,C0020542
579,DB00715,C0002994
580,DB00715,C0002453
581,DB00715,C0010692
582,DB00715,C0020514
583,DB00715,C0035455
584,DB00715,C0022568
585,DB00715,C0023434
586,DB00715,C0020538
587,DB00715,C0040147
588,DB00715,C0011616
589,DB00186,C0004245
590,DB00186,C0021141
591,DB00186,C0020542
592,DB00186,C0010692
593,DB00186,C0020538
594,DB00983,C0024115
595,DB00983,C0003850
596,DB00983,C0003873
597,DB00983,C0019348
598,DB00983,C0004245
599,DB00983,C0004238
600,DB00983,C0018099
601,DB00983,C0006849
602,DB00983,C0006840
603,DB00983,C0002994
604,DB00983,C0010692
605,DB00983,C0024117
606,DB00983,C0035455
607,DB00983,C0020538
608,DB00983,C0011616
609,DB00318,C0002994
610,DB01003,C0002994
611,DB00459,C0019348
612,DB00459,C0036508
613,DB00459,C0033860
614,DB00459,C0011644
615,DB00459,C0006840
616,DB00459,C0002994
617,DB00459,C0035455
618,DB00459,C0042998
619,DB02659,C0017168
620,DB00264,C0033860
621,DB00264,C0004245
622,DB00264,C0035455
623,DB00264,C0020538
624,DB00590,C0740394
625,DB00590,C0019348
626,DB00590,C0036508
627,DB00590,C0033860
628,DB00590,C0004238
629,DB00590,C0018099
630,DB00590,C0010692
631,DB00590,C0035455
632,DB00590,C0014544
633,DB00590,C0020538
634,DB00184,C0028043
635,DB00184,C0004238
636,DB00184,C0002994
637,DB00184,C0010692
638,DB00184,C0035455
639,DB00184,C0020538
640,DB00643,C0002994
641,DB00975,C0004245
642,DB00975,C0004238
643,DB00975,C0030920
644,DB00975,C0002994
645,DB00975,C0035455
646,DB00975,C0020538
647,DB01005,C0740394
648,DB01005,C0002453
649,DB01005,C0023473
650,DB01204,C0740394
651,DB01204,C0002453
652,DB01204,C0035455
653,DB01204,C0020538
654,DB01194,C0022575
655,DB01194,C0024117
656,DB01194,C0035455
657,DB01194,C0022568
658,DB01194,C0020538
659,DB00605,C0030920
660,DB00605,C0002994
661,DB00605,C0020538
662,DB08896,C0740394
663,DB08896,C0017168
664,DB08896,C0020538
665,DB00850,C0021141
666,DB00850,C0002994
667,DB00850,C0002453
668,DB00850,C0020538
669,DB00850,C0011616
670,DB00999,C0740394
671,DB00999,C0004238
672,DB00999,C0030920
673,DB00999,C0018099
674,DB00999,C0017168
675,DB00999,C0002994
676,DB00999,C0035455
677,DB01162,C0004238
678,DB01162,C0018099
679,DB01162,C0002994
680,DB01162,C0035455
681,DB00431,C0011616
682,DB01041,C0740394
683,DB01041,C0024115
684,DB01041,C0025289
685,DB01041,C0027145
686,DB01041,C0019829
687,DB01041,C0019348
688,DB01041,C0036508
689,DB01041,C0033860
690,DB01041,C0004245
691,DB01041,C0004238
692,DB01041,C0002726
693,DB01041,C0006849
694,DB01041,C0021141
695,DB01041,C0006840
696,DB01041,C0002994
697,DB01041,C0002453
698,DB01041,C0023473
699,DB01041,C0035455
700,DB01041,C0020538
701,DB00361,C0024115
702,DB00361,C0021141
703,DB00361,C0002994
704,DB00361,C0149925
705,DB00361,C0020538
706,DB00014,C0740394
707,DB00014,C0019348
708,DB00014,C0036508
709,DB00014,C0018099
710,DB00014,C0002453
711,DB00014,C0010692
712,DB00014,C0024117
713,DB00014,C0035455
714,DB00014,C0042998
715,DB00014,C0020538
716,DB00441,C0011615
717,DB00441,C0035455
718,DB00441,C0020538
719,DB00366,C0002994
720,DB00396,C0026857
721,DB00396,C0019348
722,DB00396,C0678222
723,DB00396,C0036508
724,DB00396,C0013274
725,DB00396,C0002994
726,DB00396,C0002453
727,DB00396,C0010692
728,DB00396,C0035455
729,DB00396,C0476089
730,DB00396,C0020538
731,DB00396,C0014175
732,DB00461,C0740394
733,DB00461,C0013295
734,DB00461,C0030920
735,DB00461,C0002994
736,DB00461,C0020538
737,DB01114,C0020538
738,DB00782,C0011615
739,DB01351,C0002994
740,DB01214,C0004238
741,DB01214,C0035455
742,DB01214,C0020538
743,DB01156,C0022575
744,DB01156,C0026857
745,DB01156,C0017168
746,DB01156,C0011615
747,DB01156,C0021141
748,DB01156,C0002994
749,DB01156,C0002453
750,DB01156,C0010692
751,DB01156,C0035455
752,DB01156,C0020538
753,DB00268,C0022575
754,DB00268,C0740394
755,DB00268,C0013295
756,DB00268,C0003850
757,DB00268,C0003873
758,DB00268,C0019348
759,DB00268,C0036508
760,DB00268,C0034186
761,DB00268,C0033860
762,DB00268,C0004245
763,DB00268,C0004238
764,DB00268,C0030920
765,DB00268,C0020550
766,DB00268,C0018099
767,DB00268,C0017168
768,DB00268,C0011860
769,DB00268,C0011615
770,DB00268,C0021141
771,DB00268,C0006840
772,DB00268,C0022602
773,DB00268,C0002994
774,DB00268,C0002453
775,DB00268,C0010692
776,DB00268,C0039103
777,DB00268,C0035455
778,DB00268,C0238198
779,DB00268,C0022568
780,DB00268,C0476089
781,DB00268,C0020538
782,DB00268,C0011616
783,DB02703,C0002994
784,DB00528,C0030807
785,DB00528,C0030920
786,DB00528,C0011615
787,DB00528,C0002994
788,DB00528,C0035455
789,DB00524,C0740394
790,DB00524,C0020538
791,DB08889,C0020542
792,DB08889,C0020538
793,DB01015,C0002994
794,DB00869,C0033860
795,DB00869,C0004245
796,DB00869,C0002994
797,DB00869,C0022568
798,DB00869,C0020538
799,DB00869,C0011616
800,DB01211,C0004238
801,DB01211,C0006849
802,DB01211,C0017168
803,DB01211,C0011974
804,DB01211,C0006840
805,DB01211,C0002994
806,DB01211,C0035455
807,DB00589,C0020514
808,DB00248,C0013295
809,DB00248,C0035455
810,DB00248,C0020538
811,DB01124,C0021141
812,DB01197,C0030807
813,DB01197,C0030920
814,DB01197,C0013274
815,DB01197,C0002994
816,DB01197,C0035455
817,DB00242,C0740394
818,DB00242,C0004238
819,DB00242,C0002726
820,DB00242,C0006849
821,DB00242,C0006840
822,DB00242,C0014544
823,DB01060,C0025289
824,DB01060,C0006840
825,DB01060,C0002994
826,DB01060,C0014544
827,DB00257,C0010692
828,DB01331,C0006840
829,DB01331,C0002994
830,DB00324,C0001622
831,DB00324,C0022568
832,DB00324,C0042165
833,DB00787,C0019348
834,DB00787,C0002994
835,DB00787,C0020538
836,DB00787,C0011616
837,DB00480,C0740394
838,DB00480,C0019348
839,DB00480,C0004238
840,DB00480,C0020550
841,DB00480,C0018099
842,DB00480,C0006849
843,DB00480,C0017168
844,DB00480,C0011615
845,DB00480,C0006840
846,DB00480,C0020542
847,DB00480,C0002994
848,DB00480,C0002453
849,DB00480,C0010692
850,DB00480,C0024117
851,DB00480,C0035455
852,DB00480,C0026764
853,DB00480,C0028840
854,DB00480,C0020538
855,DB00502,C0021141
856,DB00502,C0002453
857,DB00502,C0020514
858,DB00502,C0020538
859,DB01029,C0740394
860,DB01029,C0018099
861,DB01029,C0009443
862,DB01029,C0017168
863,DB01029,C0002994
864,DB01029,C0035455
865,DB01029,C0020538
866,DB00178,C0030807
867,DB00178,C0033860
868,DB00178,C0004238
869,DB00178,C0021141
870,DB00178,C0002994
871,DB00598,C0004245
872,DB00598,C0020550
873,DB00598,C0002994
874,DB00598,C0020538
875,DB00764,C0001622
876,DB00764,C0006849
877,DB00764,C0006840
878,DB00764,C0002994
879,DB00764,C0035854
880,DB00764,C0035455
881,DB00764,C0014175
882,DB00764,C0011616
883,DB00820,C0017168
884,DB00820,C0020542
885,DB00820,C0002994
886,DB00820,C0035455
887,DB00820,C0020538
888,DB00279,C0020538
889,DB00722,C0030807
890,DB00722,C0034186
891,DB00722,C0033860
892,DB00722,C0004238
893,DB00722,C0018099
894,DB00722,C0009443
895,DB00722,C0021141
896,DB00722,C0002994
897,DB00722,C0010692
898,DB00722,C0035455
899,DB00620,C0025289
900,DB00620,C0001622
901,DB00620,C0030920
902,DB00620,C0011615
903,DB00620,C0006840
904,DB00620,C0002994
905,DB00620,C0035455
906,DB00620,C0020538
907,DB00620,C0011616
908,DB01242,C0740394
909,DB01242,C0036508
910,DB01242,C0034186
911,DB01242,C0033860
912,DB01242,C0004245
913,DB01242,C0030920
914,DB01242,C0020550
915,DB01242,C0018099
916,DB01242,C0017168
917,DB01242,C0011615
918,DB01242,C0021141
919,DB01242,C0002453
920,DB01242,C0010692
921,DB01242,C0035455
922,DB01242,C0022568
923,DB01242,C0020538
924,DB01242,C0014175
925,DB00310,C0740394
926,DB00310,C0018099
927,DB00808,C0026857
928,DB00808,C0740394
929,DB00808,C0024115
930,DB00808,C0004238
931,DB00808,C0018099
932,DB00808,C0006849
933,DB00808,C0006840
934,DB00808,C0002994
935,DB00808,C0010692
936,DB00808,C0035455
937,DB08907,C0002994
938,DB08907,C0010692
939,DB08907,C0042998
940,DB00287,C0022575
941,DB00287,C0019348
942,DB00287,C0030920
943,DB00287,C0011615
944,DB00287,C0035455
945,DB00287,C0022568
946,DB00287,C0020538
947,DB00287,C0011616
948,DB00290,C0011644
949,DB00290,C0010692
950,DB00717,C0011615
951,DB00717,C0002453
952,DB01112,C0011974
953,DB01112,C0006840
954,DB01112,C0002994
955,DB08815,C0004245
956,DB08815,C0002994
957,DB08815,C0002453
958,DB08815,C0020514
959,DB08815,C0020538
960,DB00328,C0038013
961,DB00328,C0030920
962,DB00328,C0018099
963,DB00328,C0020542
964,DB00328,C0002994
965,DB00328,C0014544
966,DB00328,C0020538
967,DB01324,C0740394
968,DB01097,C0019348
969,DB01097,C0033860
970,DB01097,C0020550
971,DB01097,C0006849
972,DB01097,C0006840
973,DB01097,C0002994
974,DB01097,C0010692
975,DB01097,C0039103
976,DB01097,C0035455
977,DB01097,C0020538
978,DB01097,C0011616
979,DB00986,C0004245
980,DB00986,C0004238
981,DB00986,C0010692
982,DB00986,C0035455
983,DB00986,C0020538
984,DB00421,C0678222
985,DB00421,C0002453
986,DB06589,C0020538
987,DB00877,C0740394
988,DB00877,C0019348
989,DB00877,C0034186
990,DB00877,C0004238
991,DB00877,C0018099
992,DB00877,C0006849
993,DB00877,C0006840
994,DB00877,C0002994
995,DB00877,C0002453
996,DB00877,C0035455
997,DB00877,C0020538
998,DB00136,C0033860
999,DB00136,C0020538
1000,DB01176,C0002994
1001,DB01176,C0020538
1002,DB04876,C0017168
1003,DB04876,C0002994
1004,DB00252,C0025289
1005,DB00252,C0019829
1006,DB00252,C0035455
1007,DB00252,C0020538
1008,DB00252,C0011616
1009,DB00302,C0004245
1010,DB00302,C0004238
1011,DB00302,C0011615
1012,DB00373,C1527336
1013,DB00373,C0033860
1014,DB00373,C0004245
1015,DB00373,C0009443
1016,DB00373,C0002994
1017,DB00373,C0024117
1018,DB00373,C0035455
1019,DB00373,C0022568
1020,DB00373,C0020538
1021,DB00261,C0013295
1022,DB00261,C0040028
1023,DB00261,C0004238
1024,DB00261,C0020542
1025,DB00261,C0023473
1026,DB00261,C0035455
1027,DB00261,C0020538
1028,DB00991,C0025289
1029,DB00991,C0030920
1030,DB00991,C0002994
1031,DB00991,C0010692
1032,DB00991,C0020538
1033,DB00530,C0022575
1034,DB00530,C0024115
1035,DB00530,C0030920
1036,DB00530,C0035854
1037,DB00530,C0022568
1038,DB06663,C0011860
1039,DB06663,C0001403
1040,DB06663,C0020538
1041,DB01130,C0011616
1042,DB01167,C0024115
1043,DB01167,C0002994
1044,DB01167,C0010692
1045,DB01167,C0024117
1046,DB01167,C0035455
1047,DB01167,C0020538
1048,DB01223,C0740394
1049,DB01223,C0004238
1050,DB01223,C0030920
1051,DB01223,C0017168
1052,DB01223,C0021141
1053,DB01223,C0024117
1054,DB01223,C0011616
1055,DB00471,C0011615
1056,DB00471,C0002994
1057,DB00471,C0035455
1058,DB00408,C0036508
1059,DB00408,C0002453
1060,DB00408,C0020538
1061,DB00921,C0002994
1062,DB00921,C0035455
1063,DB00921,C0020538
1064,DB00921,C0011616
1065,DB00635,C0025289
1066,DB00635,C0030920
1067,DB00635,C0020550
1068,DB00635,C0011615
1069,DB00635,C0036341
1070,DB00635,C0002994
1071,DB00635,C0002453
1072,DB00635,C0035854
1073,DB00635,C0014544
1074,DB00635,C0020538
1075,DB00390,C0004245
1076,DB01183,C0524662
1077,DB01183,C0020538
1078,DB00176,C0003873
1079,DB00176,C0019348
1080,DB00176,C0036508
1081,DB00176,C0033860
1082,DB00176,C0004245
1083,DB00176,C0017168
1084,DB00176,C0011615
1085,DB00176,C0021141
1086,DB00176,C0002994
1087,DB00176,C0002453
1088,DB00176,C0010692
1089,DB00176,C0020514
1090,DB00176,C0035455
1091,DB00176,C0020538
1092,DB00418,C0002994
1093,DB01082,C0002994
1094,DB00537,C0740394
1095,DB00537,C0004238
1096,DB00537,C0018099
1097,DB00537,C0006849
1098,DB00537,C0006840
1099,DB00537,C0002994
1100,DB00537,C0010692
1101,DB00537,C0035455
1102,DB00537,C0003175
1103,DB00537,C0022568
1104,DB00537,C0020538
1105,DB01590,C0740394
1106,DB01590,C0034186
1107,DB01590,C0004238
1108,DB01590,C0018099
1109,DB01590,C0006849
1110,DB01590,C0017168
1111,DB01590,C0006840
1112,DB01590,C0002994
1113,DB01590,C0002453
1114,DB01590,C0035455
1115,DB01590,C0020538
1116,DB00230,C0740394
1117,DB00230,C0013295
1118,DB00230,C0024115
1119,DB00230,C0025289
1120,DB00230,C0003850
1121,DB00230,C0003873
1122,DB00230,C0019348
1123,DB00230,C0678222
1124,DB00230,C0036202
1125,DB00230,C0036508
1126,DB00230,C0034186
1127,DB00230,C0033860
1128,DB00230,C0004245
1129,DB00230,C0004238
1130,DB00230,C0030920
1131,DB00230,C0020550
1132,DB00230,C0018099
1133,DB00230,C0006849
1134,DB00230,C0017168
1135,DB00230,C0006840
1136,DB00230,C0020542
1137,DB00230,C0002994
1138,DB00230,C0002453
1139,DB00230,C0006267
1140,DB00230,C0010692
1141,DB00230,C0035455
1142,DB00230,C0022568
1143,DB00230,C0476089
1144,DB00230,C0020538
1145,DB00230,C0040147
1146,DB00863,C0025289
1147,DB00863,C0004245
1148,DB00863,C0002994
1149,DB00863,C0011616
1150,DB00436,C0018099
